BOSTON ROAD,FISH AVENUE,869.0
ALBANY AVE,LINCOLN PL,281.0
BRADDOCK AVE,221 PLACE,424.0
HENRY HUDSON PKWY,INDEPENDENCE AVE,326.0
NORFOLK STREET,DELANCEY STREET,218.0
8 AVENUE,WEST 26 STREET,869.0
BROADWAY,WEST 175 ST,869.0
BROADWAY,WEST 60 STREET,218.0
AVENUE D,BROOKLYN AVENUE,869.0
SOUTH CONDUIT AVE,COHANCY ST,281.0
AVENUE N,BOB STONEHILL WAY,204.0
SHERIDAN AVENUE,EAST 156 STREET,125.0
5 AVENUE,24 STREET,869.0
101 AVE,146 STREET,125.0
BROADWAY,EAST 11 STREET,326.0
HOMELAWN STREET,84 AVE,326.0
THROGS NECK EXPWY SER RD,HARDING AVENUE,424.0
DRUMGOOLE ROAD WEST,ANNADALE ROAD,204.0
ATLANTIC AVE,97th ST,424.0
51 STREET,13 AVENUE,204.0
FLATBUSH AVE,CATON AVE,218.0
GRAND CONCOURSE_SERV,EAST 172 STREET,444.0
5 AVENUE,DE GRAW STREET,281.0
CENTRAL PARK WEST,WEST 61 STREET,326.0
BRINKERHOFF AVE,111 AVE,869.0
EAST 204 STREET,GRAND CONCOURSE,326.0
EAST 161 STREET,GRAND CONCOURSE,281.0
